RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
394318,70,"Allentown, PA",msa,PA,9874.530224525042,9549.12284069098,10105.446808510638,10811.102898550726,11775.686460807601,12246.53063583815,10411.98640776699,10757.69644484959,10274.771980676329,11204.472881355932,10872.387409200968,10089.626746506987,10538.715350223547,9983.383275261323,11752.202090592335,10660.186486486486,10651.931740614335,10998.330264672037,11422.261006289309,10056.510204081633,10205.353070175439,10276.758656873033,9920.666131621188,9862.138613861385,9756.947368421053,12005.76936026936,12010.11170212766,,12516.94693877551,12837.069977426636,11779.536193029491,12321.480113636364,14001.446115288221,13086.424757281553,11859.009966777408,11539.709677419354,14740.363184079602,15745.580952380953,17011.618556701033,14116.18686868687,15577.341991341991,16224.239067055394,15539.48532731377,14587.149877149877,15150.756097560976,17352.75392670157,14423.048327137547,13039.11875,14540.91489361702,13740.84962406015,18809.38157894737,20135.224852071005,22362.539682539682,19056.063414634147,18137.27139874739,16201.583333333334,17095.89598108747,15998.879237288136,13726.312169312168,14901.820512820514,16716.09561752988
394561,71,"El Paso, TX",msa,TX,6082.715265866209,5994.783362218371,5477.29094076655,5713.721340388007,6233.081227436823,5913.550505050505,5869.64696485623,5829.870866141732,6202.386934673367,5881.659127625202,6186.861660079051,6479.469055374593,6727.419161676647,6101.665909090909,6837.748466257669,6848.460176991151,6486.943887775551,6639.626204238921,6800.887640449439,6782.101663585952,6916.900383141762,6463.713768115942,6595.071428571428,5847.491408934708,6922.734972677596,6348.5756756756755,6543.9126506024095,,6918.872950819672,7487.5,7482.400966183575,8602.391304347826,9342.674107142857,7796.369649805448,8611.660098522167,7555.192307692308,8682.1625,8986.288288288288,8773.268907563026,,9220.508333333333,10157.864661654135,11128.869109947644,11679.945,11509.929347826086,11063.078651685393,11402.675675675675,11929.225490196079,13531.596153846154,15511.4,15914.182795698925,15385.145299145299,11374.814814814816,13779.408256880733,13150.212121212122,11002.516717325228,11460.566757493189,12380.300925925925,10190.666666666666,10501.919047619047,9801.742372881356
394952,72,"Oxnard, CA",msa,CA,32944.34693877551,24572.395744680853,27027.54012345679,26686.496277915634,23049.90652557319,23712.62646566164,26441.33033033033,24354.6662371134,21015.544554455446,20745.65837696335,20360.815352697096,19439.49193548387,20373.152173913044,22018.330623306232,21548.886917960088,23956.962962962964,24043.30176565008,25362.08957654723,24100.173852573018,23089.60895522388,28111.071017274473,24503.0626349892,24216.51265822785,28044.5614973262,33983.20077220077,48480.25,31770.315315315314,27314.518828451884,29442.394265232975,27102.365853658535,38098.50588235294,33964.805785123965,56414.577981651375,35648.65315315315,42098.6,37559.87912087912,61710.73863636364,73895.66233766233,59260.574468085106,67909.51648351649,71887.3431372549,54059.35862068966,54368.85784313725,50012.32272727273,54682.18095238095,52268.91930107527,53614.48120300752,33124.27027027027,62662.80392156863,40556.527272727275,69015.3440860215,72522.37588652482,53254.58671586716,49185.99537037037,42023.850694444445,37224.35901926445,38299.67583497053,36674.36809815951,37939.45921450151,32775.101265822785,38413.738693467334
394457,73,"Charleston, SC",msa,SC,13684.769590643275,12067.014159292035,15750.627618308767,13628.61921708185,13312.467105263158,15239.458436724566,11433.94010569583,12344.307823129251,12179.553064275038,13490.19120879121,12526.304134548003,12703.353155339806,11776.04331306991,12620.010603588908,13598.469871794872,13964.070374574347,14891.55619747899,11962.197361187466,12616.46643286573,12028.082037533512,12783.758823529412,12610.328349626221,13984.210980392158,11944.326315789474,13269.043103448275,15029.887359199,15076.74319727891,9495.608034744842,12221.253164556962,12547.22081218274,13062.036941580756,14160.534743202417,14372.538461538461,14122.721757322175,15540.101838755305,13152.842490842491,16080.158953722334,17215.56,25449.153409090908,,24556.804034582132,20172.017353579176,23970.093596059112,20182.735682819384,20392.059561128528,20239.82162162162,16467.158256880735,25450.064516129034,28850.281954887218,33784.67123287671,36219.66545454545,36053.62848297213,31372.279843444227,28680.967517401394,20983.33991416309,21173.721367521368,19081.06759098787,20326.110749185667,19337.36896197328,17387.078971061095,18498.535077288943
845158,74,"Dayton, OH",msa,OH,5856.528942115769,6377.002100840336,6896.547348484848,6508.753022452504,7198.4200298953665,7159.915989159892,7064.807909604519,6532.840867992767,6134.9486910994765,5837.120209059233,5622.6174734356555,4646.966911764706,5484.969754253309,6892.689411764706,6855.855140186916,8139.060661764706,7435.186324786325,8037.962676962677,7346.248720573183,7847.46905940594,7237.021590909091,6866.285395763656,6636.325396825397,6316.135204081633,6682.69537815126,8666.320675105486,6480.469565217391,7022.145363408521,7598.921375921376,8467.80604534005,8210.333333333334,8001.288270377733,8601.740037950663,7963.211946050096,7375.263858093126,8217.489436619719,8789.370517928286,8666.715328467153,9085.710144927536,11447.360465116279,10919.18811881188,10600.934169278997,10405.741452991453,9897.685763888889,9894.239600665558,8578.161290322581,8617.944,8455.530769230769,9854.48167539267,10207.7109375,13856.17415730337,13074.05069124424,11885.906158357771,11496.218181818182,10880.797888386123,10068.590490797545,10668.991803278688,9214.803949224259,9357.864564007421,9078.91369047619,8412.600515463917
394440,75,"Cape Coral, FL",msa,FL,12806.704142011835,13032.322358346095,13380.3875,12275.826490066225,11673.112809699525,11160.951631701631,9928.33658219623,10125.949500880799,9262.327671620666,10338.636982713462,10703.26170105687,12140.930264993027,12084.912903225806,13488.391404958678,13423.893253088376,12562.941103789128,11452.803510273972,10638.909693877551,10635.561611374407,9585.004578155656,9371.104209799862,9543.99939430648,9771.401628222524,11525.070652173914,11908.167829119442,14622.33835039133,13457.477728830152,10473.917063870353,10776.40076923077,11614.301600673967,10414.36397748593,11202.710685483871,11664.92297979798,11426.912426035504,14474.477064220184,14196.361067503925,17681.5006993007,18990.293103448275,21317.019083969466,20048.83661417323,22132.9125,17992.820330969265,15656.24070021882,16200.306451612903,19316.526315789473,15691.133971291865,17476.051569506726,18636.74090909091,17841.83188044832,22285.527581329563,29343.18004338395,27541.859981078524,23104.640836408365,23534.976873265496,20296.90024135157,16335.08449074074,18298.862571577305,20081.69744058501,21575.140338983052,23387.312142857143,24745.033992897006
394648,76,"Greensboro, NC",msa,NC,8154.985754985755,9601.419452887538,9958.275401069519,9807.274725274725,9200.839015151516,8580.681904761905,9086.907504363002,9062.0,9377.08982035928,9883.780701754386,8199.351528384279,8252.204946996466,9481.166666666666,8202.93993993994,8876.240196078432,9529.063180827887,9299.15,9056.38403041825,9412.070446735395,9514.994545454545,9696.065180102916,8751.977309562399,7558.348894348895,6745.534743202417,8911.68115942029,8324.577319587628,10241.015243902439,7272.144628099173,8988.535014005602,10815.33810888252,10364.558823529413,10246.54574132492,11008.775577557755,9856.833333333334,9505.008368200837,9514.639784946237,11201.329787234043,10850.387596899225,13299.189873417721,16815.28125,13589.568345323742,15081.650485436894,17301.904761904763,18356.26851851852,15505.926605504586,15181.057471264368,12334.313253012047,10037.208333333334,13664.21052631579,10147.869565217392,15395.208333333334,13129.441176470587,15349.10909090909,21466.056603773584,17219.4126984127,19210.916666666668,18434.055555555555,14888.746575342466,13170.545454545454,14881.537313432837,13655.908045977012
394399,77,"Boise City, ID",msa,ID,9640.313397129186,10208.306010928962,9936.638830897704,10763.74661508704,9148.785625774473,10932.031088082902,8566.101437024514,10002.080508474577,8373.103286384976,8447.142590286427,8638.602739726028,8707.996557659208,8015.368235294118,7358.553706505295,8289.290434782608,9446.237974683545,11151.054421768707,9399.909169550174,10065.414715719064,10483.267885532592,9249.634317862166,9044.699174793699,7819.877969762419,7400.168249660787,8288.681818181818,8609.78330658106,9470.440476190477,9253.651442307691,9703.24065934066,11809.784411276949,11079.675789473684,13296.845714285715,18222.840637450197,16704.169312169313,19752.68,12592.415094339623,14667.651376146789,,33263.36875,35408.06435643564,33717.95483870968,34355.728085867624,29819.297542043983,23093.75177935943,21171.370257966617,19544.532554257094,17937.527977044476,22686.1661237785,26461.017621145373,27548.502923976608,31916.238805970148,25538.235294117647,25661.578496669837,24574.809449636552,23068.722033898306,22115.981030927836,21688.77830391735,22682.71199143469,20139.79177377892,19669.839344262295,22564.047770700636
395134,78,"Stockton, CA",msa,CA,11759.98206278027,12302.71590909091,12132.845132743363,12747.515384615384,12479.083573487032,13098.639150943396,12757.893410852714,11630.410628019325,12624.0992,12250.150943396226,12810.033519553073,10315.985815602837,11359.852112676057,12176.97697368421,11140.90938511327,11539.565217391304,12647.043859649122,11509.50968992248,11794.024429967427,11659.529190207157,11273.670454545454,11514.388978930308,11325.239631336406,12354.088,12273.119863013699,14930.360544217687,12804.35960591133,10393.377990430621,12218.127118644068,14452.899408284024,15876.68125,16535.23404255319,18268.702127659573,20633.977777777778,21306.80198019802,24849.444444444445,19783.803571428572,23548.473684210527,22716.31818181818,29872.06349206349,30697.16129032258,30655.18831168831,27281.517441860466,22661.743944636677,22058.66352201258,21088.90494296578,22237.677852348992,24766.439393939392,27100.072463768116,41192.98809523809,37392.6,26474.227979274612,23449.902366863906,24153.43559322034,23516.04946524064,21710.65182186235,20307.983823529412,22557.109939759037,21717.746753246753,19124.92936802974,19241.44318181818
394484,79,"Colorado Springs, CO",msa,CO,9285.937777777777,11807.187817258884,10981.158878504673,12807.435840707965,11106.2745398773,9991.927138331574,10577.122486288848,9418.079480940794,9064.482021379981,9578.62620423892,8953.028205128205,9279.182305630027,9983.853211009175,9365.84240687679,10517.280323450135,10181.142857142857,10911.600260416666,10413.701357466063,10692.913696060037,11034.467439785905,10063.806830309499,10129.108404384897,9478.422764227642,9616.98051948052,10449.792613636364,13276.32994923858,12850.204419889502,10438.389534883721,11122.613095238095,11599.626488095239,13190.580893682589,12374.503937007874,11655.514925373134,13794.006116207951,13373.95154185022,13562.385714285714,18836.06779661017,21160.486486486487,18579.128712871287,22039.24844720497,22460.341708542714,22087.267912772586,21821.540948275862,22734.715094339623,22015.269961977185,17879.974103585657,18374.655913978495,16792.94230769231,16968.527777777777,24014.840909090908,17442.325,22063.168316831685,18516.839936608558,18305.300911854105,16149.05935828877,14513.010169491525,14071.629329004329,13951.562535370686,13985.422093981862,12097.95046854083,13549.021798365122
394798,80,"Little Rock, AR",msa,AR,10863.300160513643,8101.437616387337,7353.48717948718,7962.767015706806,8237.888127853881,8731.713089005236,7607.373262032085,7667.230195712954,7628.825301204819,7423.294685990338,6879.89928057554,7361.380549682875,7911.275906735751,8396.3934169279,8317.771197846569,8346.245011086474,8328.114537444933,8013.219889502762,8689.797365754812,7981.459194776931,8139.799761620978,7464.2308571428575,7645.37789661319,8308.507692307692,9496.289752650177,10029.641598119859,8618.103448275862,7298.400491400492,8746.648706896553,8762.254582484726,8620.091954022988,7946.279646017699,9158.721544715447,8689.642857142857,10154.077586206897,10096.306306306305,10351.066666666668,,11077.714285714286,13580.123287671233,14223.263358778626,13299.918566775244,14025.61961722488,12640.207661290322,13306.913832199547,11625.068702290077,12445.766101694915,11646.0,13226.09486166008,15996.303370786516,16637.525691699604,15781.76893939394,15347.13392857143,16689.361344537814,13235.150197628458,13447.385171790234,12875.142581888247,11863.358928571428,10941.974304068523,11832.69642857143,11048.53
394766,81,"Lakeland, FL",msa,FL,7510.467766116942,7087.75,7817.038404726735,7725.145299145299,7156.793522267207,7233.713498622589,7309.824933687003,7879.718225419664,6794.286075949367,7302.459793814433,7518.025862068966,8160.3533333333335,8416.229660144181,7862.33962264151,7473.285279187818,8100.5442875481385,8225.586340206186,7656.250960307299,8215.296717171717,7643.78239608802,7994.202424242424,7624.062170706006,7273.843537414966,7429.803361344538,7438.687353629976,8045.165022421525,7612.608125819135,7126.087719298245,7262.552395209581,7704.887417218543,8327.32156133829,7994.567134268537,7467.29373650108,8196.79035639413,8127.491358024691,7660.486413043478,,8872.094696969696,,,11392.36507936508,,13167.834782608696,13240.602771362586,13599.23006833713,12062.297101449276,12263.94366197183,11930.776173285198,13203.664285714285,14179.125,16076.417197452229,18335.04098360656,15680.305743243243,14890.645614035087,12826.998289136014,12661.88429752066,12491.620769230769,12758.487900078064,12145.183122362869,11669.317016317016,11937.887873754153
394531,82,"Des Moines, IA",msa,IA,6826.095684803002,6772.390825688073,6369.3234375,6854.14402173913,7107.676700111483,7674.747219413549,7510.495583038869,7380.343955014058,8239.69540229885,7114.230215827338,6942.3797953964195,6674.304347826087,7018.873504273504,7267.169197396963,7466.6872909699,7140.029445073613,7057.126034958602,7465.815112540193,6686.03412462908,7617.793185419969,7233.455363840961,7037.9485352335705,6912.62699386503,6125.995841995842,6830.265500794912,6999.488938053098,6637.281081081081,6902.237885462555,6502.902406417113,7598.470052083333,7173.31525851198,7918.372424722663,7211.435171385991,7221.953956834533,6925.789373814042,7405.660660660661,7530.599264705882,9314.231527093596,9091.100877192983,10062.261044176706,9484.895043731778,10088.375782881001,9688.39247311828,9933.160186625195,9347.380573248407,8981.58038585209,8565.4375,7967.736507936508,7981.2692307692305,10005.942583732058,10007.161016949152,11530.47697368421,13141.375796178343,13341.520958083833,11317.46195652174,11745.518469656992,10732.221494102228,11264.422098159508,10009.234586466166,9831.33988764045,9931.797402597402
394304,83,"Akron, OH",msa,OH,8107.417431192661,8831.007792207793,8326.478260869566,8971.535714285714,10572.23592085236,10343.763456090652,9900.0625,8714.158564814816,8597.34007585335,9135.52410383189,7192.582417582417,7217.555555555556,7858.63539445629,8190.46875,8351.938271604939,8441.386454183266,10651.085667215815,10377.120910384068,9750.016371077763,9438.671834625324,8826.002409638555,9083.725848563969,7692.785198555956,8085.470085470086,8354.108108108108,8398.569182389938,9316.290697674418,8658.184713375796,10605.662921348314,11053.954423592493,10687.189743589744,11318.381642512077,10161.992840095465,9923.325526932083,9619.2,8578.288888888888,8650.646575342465,9004.68456375839,10947.68456375839,10744.125786163522,12212.045454545454,10978.120343839542,12032.49156626506,12875.198555956678,11069.430830039526,11606.959905660377,10600.560471976401,11582.029268292683,9980.362162162162,,12594.382352941177,11153.16149068323,,15654.437037037036,14140.438559322034,12747.437148217636,12789.782527881041,10709.476821192053,10853.89900990099,11653.947368421053,9915.567375886525
395115,84,"Springfield, MA",msa,MA,9056.01893939394,12577.900473933649,10449.25,10569.85754189944,11455.925093632959,11653.898692810457,10294.989956958392,11037.128767123288,9808.085399449035,10158.163434903046,8879.679462571978,9842.505494505494,9345.488311688312,9506.414790996785,9552.382513661201,9890.745238095238,10300.767824497258,11400.070826306914,11107.485148514852,10358.85081967213,11162.8734375,10543.418535127055,9430.586854460094,9199.78947368421,9215.3745819398,10159.029069767443,11044.189873417721,9700.161764705883,12536.072033898305,11175.813229571984,13464.65503875969,13394.852,11964.684426229509,14738.95035460993,10928.11055276382,10346.28455284553,12401.2,11996.914285714285,15989.253968253968,14549.402298850575,18318.13953488372,18545.197802197803,17024.641148325358,17183.019920318726,15393.909448818898,15299.338028169013,14893.03488372093,22779.401960784315,13854.880952380952,13777.776119402984,19271.21212121212,17997.095238095237,17197.567741935483,19171.89270386266,16756.930555555555,15132.318295819936,14232.977346278318,16833.720257234727,13420.24995967742,10762.75,13474.5
